0,1,2,3,4,5
1517.0,0.224,1.523,0.93,Normal1,Normal1
1495.12,0.214,1.543,0.933,Normal1,Normal1
1492.79,0.264,1.173,0.917,Normal1,Normal1
1553.31,0.204,1.443,0.926,Normal1,Normal1
1536.51,0.204,1.323,0.948,Normal1,Normal1
1600.24,0.194,1.733,0.974,Normal1,Normal1
1579.66,0.284,1.463,0.975,Normal1,Normal1
1584.42,0.284,1.593,0.931,Normal1,Normal1
1574.07,0.244,1.253,0.948,Normal1,Normal1
1563.67,0.184,1.743,0.929,Normal1,Normal1
1562.21,0.218,1.224,1.1,Condition3,Condition3
1451.43,0.248,1.654,1.067,Condition3,Condition3
1580.4,0.208,1.804,1.038,Condition3,Condition3
1571.83,0.238,1.754,1.095,Condition3,Condition3
1577.37,0.228,1.694,1.049,Condition3,Condition3
1483.12,0.248,1.624,1.092,Condition3,Condition3
1542.93,0.218,1.434,1.015,Condition3,Condition3
1605.4,0.228,1.574,1.064,Condition3,Condition3
1382.02,0.284,1.598,1.055,Condition8,Condition8
1341.33,0.344,1.403,0.962,Condition8,Condition8
1351.19,0.314,1.578,0.981,Condition8,Condition8
1361.21,0.244,1.208,1.03,Condition8,Condition8
1446.7,0.334,1.128,1.037,Condition8,Condition8
1372.68,0.294,1.338,1.056,Condition8,Condition8
1389.86,0.264,1.668,1.036,Condition8,Condition8
1320.89,0.264,1.428,0.97,Condition8,Condition8
1443.04,0.344,1.478,1.075,Condition8,Condition8
